name,capacity,latitude,longitude
W 92 St & Broadway,24,40.7921,-73.9739
Montgomery St & Franklin Ave,19,40.666439306870814,-73.9605563879013
South St & Broad St,31,40.70188858913366,-74.01089876890182
W 12 St & Hudson St,45,40.73752993301071,-74.00558933615685
8 St & Astoria Blvd,19,40.7725996921817,-73.93266275525093
W 107 St & Columbus Ave,23,40.7997568,-73.9621128676
Broadway & W 48 St,103,40.76017739537783,-73.98486793041229
E 147 St & Bergen Ave,25,40.814673,-73.91839
Southern Blvd & E 174 St,27,40.836733,-73.887931
Clay Ave & Claremont Pkwy,21,40.83999,-73.90549
Bergen St & Saratoga Ave,20,40.67423,-73.91656
1 Ave & E 110 St,25,40.7923272,-73.9383
5 Ave & E 87 St,38,40.78232260730881,-73.95987510681152
W 15 St & 6 Ave,75,40.738046142482766,-73.99642959237099
Hoyt St & Warren St,35,40.6843549,-73.98901629
Whitehall St & Bridge St,42,40.703661705241345,-74.0131813287735
E 106 St & 2 Ave,24,40.790586067792006,-73.94195795059204
Columbia St & Lorraine St,37,40.6747055,-74.0075572
36 St & 3 Ave,30,40.655716,-74.006664
N 7 St & Driggs Ave,53,40.716967,-73.956388
Dawson St & Intervale Ave,19,40.819999,-73.897263
W 59 St & 10 Ave,117,40.770513,-73.988038
Southern Blvd & E 149 St,27,40.811892,-73.904192
Lafayette Ave & Ft Greene Pl,36,40.68700231292619,-73.97664964199066
Maple St & Flatbush Ave,24,40.66026,-73.96045
Morton St & Washington St,31,40.73115,-74.00887
2 Ave & 36 St,43,40.65708866668485,-74.00870203971863
72 St & 41 Ave,26,40.7448,-73.89377
Warren St & Smith St,33,40.685424009970184,-73.99127773940563
Bushwick Ave & Linden St,29,40.69146,-73.92146
Central Ave & Himrod St,25,40.69676,-73.92302
India St Pier,27,40.731734785883454,-73.9612390102593
Bailey Ave & Sedgwick Ave,20,40.86571,-73.90857
31 Ave & 57 St,23,40.757357,-73.904726
Riverside Dr & W 78 St,79,40.78414472,-73.98362492
Walton Ave & E 168 St,20,40.83649,-73.918316
President St & Nostrand Ave,28,40.66811,-73.9505
Madison Ave & E 120 St,30,40.80295,-73.942954
W 211 St & 10 Ave,20,40.86709406268147,-73.9172950387001
Cherry St,36,40.71219906,-73.97948148
Wilkins Ave & Crotona Park E,19,40.835302,-73.895133
Carroll St & 5 Ave,27,40.6751622,-73.9814832
Clinton St & Cherry St,33,40.711471394469264,-73.98672603070736
St Marks Ave & Thomas S. Boyland St,21,40.67313,-73.91387
W 34 St & Hudson Blvd E,57,40.75516719072139,-74.00059908628464
Stanton St & Norfolk St,49,40.720747,-73.986274
